Class	CW	CW	CW	CW	CW	CW	CW	CW	CW	CW	CW	CW	CC	CC	CC	CC	CC	CC	CC	CC	CC	CC	CC	CC
k__Archaea	0.619398498343144	0.321083365219851	2.44647436821024	1.29092880375858	1.79015623689874	0.895203137172056	16.7578892235171	5.53095318083254	7.73578335520853	0.519906964016965	1.01747665788844	0.312634095506651	0.370246160037561	0.716671099683778	0.123411978221416	0.152245964808278	0.123784261715296	0.706238042374283	0.119603094914654	0.279545454545455	1.31262273539357	0.8884679565237	0.878822520720206	0.127479475804396
k__Bacteria	36.958375861635	61.9042073566354	46.4714866149901	34.2464763281532	37.3501215796976	36.0352271676987	37.9180306403038	40.0146596219039	40.3691104384861	39.6223833629772	41.1778788604261	35.1958560657145	42.0001341471594	37.8372787185625	35.8025408348457	33.0171647220501	41.9036251105217	38.4982403098944	29.3116177426023	27.3272727272727	35.0126242119096	40.6733414513147	41.4046870534438	31.2375707511091
k__Archaea|p__Euryarchaeota	0.619398498343144	0.321083365219851	2.44647436821024	1.29092880375858	1.79015623689874	0.895203137172056	16.7578892235171	5.53095318083254	7.73578335520853	0.519906964016965	1.01747665788844	0.312634095506651	0.370246160037561	0.716671099683778	0.123411978221416	0.152245964808278	0.123784261715296	0.706238042374283	0.119603094914654	0.279545454545455	1.31262273539357	0.8884679565237	0.878822520720206	0.127479475804396
k__Bacteria|p__Actinobacteria	0.00978733518826638	14.0328403400489	0.0230527620090482	0	0.0125772100953073	0.00132035860939831	0	0	0	0	0	0	0	0.286668439873511	0.116152450090744	0.118563229231225	0.000884173297966401	0	0.190479003012226	0.143181818181818	0.747117102484976	0.987687728318225	2.74840430599219	0.242211004028351
k__Bacteria|p__Bacteroidetes	12.8787349170174	4.46522151424911	13.3850099415036	2.17997831586556	16.8338969786746	11.4580720123586	12.360874689014	17.896955074367	14.7912034928883	15.5652848086834	18.1110845104142	10.8992827806044	21.6848883224898	24.3535183379141	22.0312159709619	17.5837352806446	17.9071618037135	12.3532607411956	11.8303703266198	11.7909090909091	11.4474286473637	10.9434898299734	10.1457559302658	14.211411962674
k__Bacteria|p__Firmicutes	20.1143720026286	15.4502653512785	17.5316255078812	28.2356342609324	19.2822605438945	20.8577049526651	20.2671205970931	21.8581070763217	24.1207510781346	23.1586628357732	21.1355837522943	21.2376632133881	16.992420685492	12.8823477258622	12.0029038112523	14.6277384064024	18.8992042440318	21.5981292958878	13.6450888902014	12.6727272727273	20.4512232935166	23.0843819059216	20.7821282271125	15.603487838458
k__Bacteria|p__Proteobacteria	0.01538009815299	26.5650734498994	0	0.00144560896277557	0.00279493557673496	0.0475329099383393	0	0	0	0	0	0	0	0	0	0	0	0	0.010336069930896	0.00681818181818182	0.00147651601281616	0	0	0
k__Bacteria|p__Unassigned	0.262859859342011	0.231246568733468	0.0835662622827998	1.05818576075172	0.093630341820621	0.182209488096967	0.138797957313081	0.149650306935834	0.233037794980312	0.702330460163269	0.554624531162716	0.260528412922209	0.391709705546985	0.178798356828324	0.293284936479129	0.299102691924227	0.3342175066313	0.290526017431561	0.208197980036619	0.236363636363636	0.116644765012477	0.469038921210481	0.478708202343527	0.507368313701494
k__Bacteria|p__Verrucomicrobia	3.6772416493058	1.15956013242609	15.4482321413134	2.77123238164077	1.12496156963582	3.48838744603034	5.15123739688359	0.109947164279388	1.22411807248279	0.196105258357276	1.37658606655494	2.79838165879973	2.93111543363069	0.135945858084346	1.35898366606171	0.388025113847646	4.76215738284704	4.25632425537946	3.42714547280137	2.47727272727273	2.24873388751901	5.18874306589095	7.24969038772983	0.673091632247208
k__Archaea|p__Euryarchaeota|c__Methanobacteria	0.619398498343144	0.321083365219851	2.44647436821024	1.29092880375858	1.79015623689874	0.895203137172056	16.7578892235171	5.53095318083254	7.73578335520853	0.519906964016965	1.01747665788844	0.312634095506651	0.370246160037561	0.716671099683778	0.123411978221416	0.152245964808278	0.123784261715296	0.706238042374283	0.119603094914654	0.279545454545455	1.31262273539357	0.8884679565237	0.878822520720206	0.127479475804396
