Compound_ID	Name	Class_I	Class_II	Class_III	Class_IV	OS1	OS2	OS3	OS4	OS8	OS9	OW1	OW2	OW3	OW4	OW5	OW6	CS1	CS2	CS3	CS5	CS7	CS8	CW1	CW2	CW3	CW4	CW5	CW6	PS7	PS8	PS9	PS10	PS11	PS12	PW7	PW8	PW9	PW10	PW11	PW12
Com_1761_neg	Uracil	Organoheterocyclic compounds	Diazines	Pyrimidines and pyrimidine derivatives	Pyrimidones	166599260.8	556614125.2	546133257.6	196562688.3	547997908.8	516645565.4	170677295.5	160756664.4	225041113	224129903.5	192821388.9	413961333.4	523018849.4	463162545.7	592720753.2	564375382.5	383351949.9	349122506.9	215724567.6	281708790.9	212222339.5	335713237.9	226840296.3	211669526.1	549218067.9	612631848.7	516416325.3	588168673.4	478615050.3	562824102.7	361798566	263259946.2	295679281	263111942.1	274693890.2	283651472.1
Com_12686_neg	Gibberellic acid	Lipids and lipid-like molecules	Prenol lipids	Diterpenoids	C19-gibberellin 6-carboxylic acids	1187446.383	1041974.874	2500389.392	824305.3046	879570.8524	1366769.244	867388.4211	686630.4654	3798508.312	1031420.304	1106772.892	794096.5315	3936492.417	844631.9869	1242830	5013665.109	12171506.17	8591244.862	1014810.509	955120.4232	1623625.165	1051596.569	674347.0112	1564326.575	1003691.227	940920.3087	1016412.509	1155954.986	633180.3288	847849.914	975941.575	1111607.148	971596.5764	871324.6768	1424531.364	2349357.335
Com_4209_neg	Bisphenol A	Benzenoids	Benzene and substituted derivatives	Diphenylmethanes	Bisphenols	1700132.96	609439.323	674554.8515	878655.5646	746625.5999	1585481.026	594299.7963	575357.5645	668005.9517	3831256.769	763965.2626	822236.8565	5585250.722	922618.2894	1852132.647	609147.2214	469623.6528	489049.1339	577142.8409	739951.7836	663338.479	754364.5262	587611.4753	691243.9364	628901.826	609347.3767	650093.4049	38086853.93	517291.9856	649556.4896	5498267.051	5825298.542	6923011.705	559797.1393	644854.9222	584039.5192
Com_331_neg	Thymidine	"Nucleosides, nucleotides, and analogues"	Pyrimidine nucleotides	Pyrimidine deoxyribonucleotides	Pyrimidine 2'-deoxyribonucleoside monophosphates	67434482.97	292208359	168395766.7	46668010.62	290689628	289886273.8	98396843.8	90013556.15	136059788.8	196431334.9	124340538.5	185212340.1	267394899.5	140835405.8	375803663.9	337798059.2	122385943	142934295	76240387.77	180425930.2	176825137.5	142583634.9	84203954.17	222454220.6	463507993.5	532104445.6	425151579.8	447722859.7	392568640.1	383407748.8	300682784.7	243656817.7	259310198.4	162687777.4	148278782.2	203933813.6
Com_38790_neg	Citrinin	Organoheterocyclic compounds	Benzopyrans	Not available	Benzopyrans	274117.4743	1390275.096	1399245.703	1219653.447	971559.9236	970903.9485	1245866.554	1234886.452	1077851.577	2778159.37	796486.2913	766880.7294	853598.2738	781848.1406	1135326.06	1207656.444	866504.1368	911124.1256	1120803.623	628402.2082	696743.2815	2036425.346	1111258.253	918063.7158	915653.9062	907472.0424	952519.3155	894637.4277	905245.8096	973760.1169	1642055.537	3463511.589	2094698.82	899504.3437	829869.5921	875539.5214
Com_1332_neg	O-Desmethylnaproxen	Benzenoids	Naphthalenes	Naphthols and derivatives	Naphthols and derivatives	930869.3461	481376.8518	69565905.91	741078.9349	32612531.04	424321.5443	486183.9331	562658.2901	648886.1801	694264.2196	105945187.6	730658.1763	621233.6416	515021.5661	6258454.45	17105656.33	414936.8164	401956.3853	651697.6019	1093936.225	1670874.371	1184056.332	621242.2568	985536.613	762208.8887	705739.1513	633969.9431	718437.2329	699325.797	731010.245	747471.3696	941486.3251	720745.0714	57147350.9	12413443.59	2448250.09
Com_12468_neg	Phenylglyoxylic acid	Benzenoids	Benzene and substituted derivatives	Benzoyl derivatives	Benzoyl derivatives	1236243.467	2871461.725	2597370.954	2350839.895	3699625.902	2988728.419	3010046.843	3245451.587	3620023.276	3997213.342	4229874.974	4254836.016	3327477.587	2895833.716	7244822.136	6157709.347	2574348.39	2755091.284	2865522.661	3227905.742	2889549.136	4316587.01	2842672.815	2753835.215	4507550.079	4708532.229	3818985.919	4282993.082	4178132.271	4142349.388	4652149.821	4679616.585	5067346.9	13251205.41	17556516.92	16895983.3
Com_3103_neg	8-Isoprostaglandin F1¦Á	Lipids and lipid-like molecules	Fatty Acyls	Eicosanoids	Prostaglandins and related compounds	8137893.6	18435680.01	14822295.06	19399008.03	18897212.21	34667504.9	19028289.11	18630545.25	17703124.38	18483931.92	35847689.77	16569382.57	61888741.43	17749301.88	27046616.55	22505233.1	19029033.66	22072476.93	13929814.59	23536606.73	22012746.9	19139472.67	14396612.93	18610868.68	27503764.06	24115301.02	19857556.67	20378792.02	34254935.87	19477920.28	18339918.52	18748195.44	21508659.24	14484939.29	14430781.16	10867045.86
Com_131_neg	Delta-Tridecalactone	Organoheterocyclic compounds	Lactones	Delta valerolactones	Delta valerolactones	8394072.569	331752243.3	336155036.8	428627155.8	340442473.5	151333020.5	67295318.86	64540469.43	72618617.11	75517094.14	199940247.3	157197060.1	455967839.4	297038268.1	1183525725	876652665.5	694541145.7	604579988.7	172695739.2	191527771.7	231431084.3	276047612.3	151230627.1	268641609.4	1068631488	1054199444	1078153873	1041821246	1007609111	994694436.4	62669361.21	63920455.26	80003299.04	130814966.9	84001141.11	85682312.96
Com_1355_neg	LPE 13:0	Lipids and lipid-like molecules	Glycerophospholipids	Glycerophosphoethanolamines	1-acyl-sn-glycero-3-phosphoethanolamines	1091985.475	19887455.34	12756399.3	2382115.96	39303532.7	14373788.68	15618947.79	23854263.94	10446726.36	5323835.295	9451493.79	9565379.785	30136063.36	28749278.95	22534234.57	15660257.98	112646674.7	77238735.3	17121003.08	14401612.91	7645984.393	25800062.91	17562714.77	7233035.982	55624145.79	47962034.28	44018104.64	25370021.5	27966314.05	23361081.8	22838245.45	12919802.7	7217342.731	12380288.56	8747857.272	15016675.78
