Table S7. CAZyme																																				
CAZy_Family	CW1	CW2	CW3	CW4	CW5	CW6	OW1	OW2	OW3	OW4	OW5	OW6	PW7	PW8	PW9	PW10	PW11	PW12	CS1	CS2	CS3	CS5	CS7	CS8	OS1	OS2	OS3	OS4	OS8	OS9	PS7	PS8	PS9	PS10	PS11	PS12
GT21	13.76402705	4.01001601	6.37388376	12.72482153	3.94222868	9.97130818	21.75974543	19.99698936	14.53173286	8.81275172	50.24847424	32.62111717	3.0867835	25.80458581	12.61700488	31.48534558	25.99037928	26.09042768	15.42485779	0	1.59597841	0.89999281	14.53415518	9.92664752	0	1.4274149	32.80053113	242.3073104	12.06200005	0	35.45203597	27.71226014	5.07987281	6.92702947	16.19507507	10.15739241
GT74	13.61105684	1.72552204	11.94647676	2.19378972	26.85688757	63.09478523	10.90125403	0	17.86328405	1.05186667	15.8777085	26.77871035	8.89785131	0	1.34842731	0.86551165	0	0	0	0	6.29030787	14.49428973	4.87186659	2.20733239	0	0	12.69229936	3.98486184	0.97947439	0	5.95609464	20.71658815	0	1.00357522	0	0
CBM78	71.98385276	76.46473408	259.4233815	226.1633847	61.11811597	156.0417317	165.1833875	132.1790245	307.6813567	155.5719123	199.316682	92.37594297	10.20889318	78.74125766	173.0576805	55.93220078	271.8885838	50.11790468	36.16019604	19.69188207	28.84306869	1.41360426	8.62835748	16.2290608	0	28.14565423	84.96277385	122.8441177	146.9981078	0	111.7650136	121.9200272	104.4484438	71.86800844	137.6212933	92.62386607
GH159	107.4294877	112.4797409	88.08010649	59.91949463	118.7765612	70.77358919	130.0989435	58.24275339	67.48655603	21.30820024	29.53328991	82.61204389	87.5889298	37.26169791	97.22238384	23.40767507	48.89563949	41.64391311	33.15461648	28.47018306	59.96567891	122.0714498	27.47965566	20.17842521	992.2226121	45.75692168	100.4079215	118.0457548	30.38110449	81.57686842	44.27546402	20.91843483	42.77758238	52.66413664	40.3567106	48.18074608
PL31	55.23711764	38.57710271	111.1951133	80.70080535	51.39877734	189.2030394	92.76517763	55.2668688	92.95260076	55.9042783	145.9704563	102.2563283	5.8998379	19.5456593	151.095817	13.74498061	128.8923665	12.43305935	38.69778924	6.58337718	14.37543341	2.54233489	7.8137784	9.0392077	0	5.25742418	18.9272876	212.3158796	39.48071623	0	75.06772162	63.95592684	33.46216648	41.19050416	74.9789947	76.91601849
GT80	64.13001855	7.68720171	0	16.06855718	69.25421092	45.8638858	27.58836424	47.44396856	41.18588752	3.02301177	48.26918671	22.70533725	15.40682297	10.1256302	8.86151633	35.05232113	22.09114181	16.36542024	14.2846879	16.66754881	12.51747773	20.42500296	12.57892101	2.80090076	0	15.61907201	6.75039223	5.05586136	14.54864182	0	27.0463114	29.87750874	16.95990581	20.36656783	32.48182129	34.96434329
PL30	0	0	0	0	0	0	1.62221042	0	1.5090549	0	0	0	0	0	0	0	2.58797832	9.14938895	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CBM17	6.55388858	11.55022217	9.77290438	12.17498404	22.0206185	28.56029468	3.44431407	6.27977927	21.59835691	10.90439268	5.5466122	17.91050021	14.9921082	12.14770912	24.97632448	38.95134367	8.0227328	5.18465374	3.52246188	22.14670033	3.76408751	0	8.6547277	8.08919237	0	28.74298316	6.85063499	0	1.58294202	0	6.6537876	3.0796233	2.9527095	27.810853	20.63820972	22.98803645
GH46	56.07360607	8.7760319	109.7615674	51.90743683	58.53912439	119.5339566	45.38223693	52.79067944	98.20239654	67.88044563	27.91364342	9.42408993	73.08027685	69.47595914	49.25829758	81.41730681	33.41354448	55.20320911	7.98389201	42.78633732	7.6877766	9.03492464	10.57819347	15.9478515	119.0680108	8.67718002	20.68337311	0	0	1.48075531	50.75117744	53.03350087	61.9333772	38.77655687	88.21027852	94.69672546
CBM10	38.88476463	111.2565287	59.14008076	73.45371627	22.19495667	44.83128351	17.40160593	31.56480149	50.66881637	72.04703323	78.36426201	141.5583851	16.11619105	76.74929554	72.99869404	62.88351655	60.13966719	54.79476198	36.15691329	22.36724034	15.38383891	18.79770244	6.36353899	4.81935374	2.26968734	47.40019239	35.61398092	325.1250109	28.39433697	82.9864834	64.01614433	48.66775698	76.65181542	34.91918084	18.60643511	24.3467792
GH70	7.46060602	7.05784432	23.85281893	3.18463546	9.31060569	3.3718154	32.44831503	8.65343979	2.09198963	13.42429677	2.97676019	34.19507644	0	1.57775639	7.84932875	5.51541522	4.86373634	10.80129622	1.43507706	9.81900153	14.37290368	7.66367797	62.74459971	43.16105842	14.62841168	49.37207189	5.24760778	38.43231176	52.06476667	5.27867582	4.90844466	3.97072496	3.21582223	0.72152467	0	1.18144729
CBM73	6.6217138	3.89956882	3.98008855	5.93706886	7.6379107	38.93769798	16.62900312	6.69145435	5.04519848	0	12.23627972	0	3.45289752	42.80517953	21.25996369	0	8.10064917	5.09816698	1.83994517	8.28140055	11.83846633	12.61161137	0	1.10549649	0	9.35399315	5.0088352	6.60740702	1.1077969	0	30.78460493	17.828682	21.982794	6.59064324	14.07250858	20.50044987
CE13	0	0	4.30675507	2.16751679	0	0	0	0	0	0	8.43403429	2.0791311	0	0	0	0	0	0	0	0	0	0	6.30558732	13.69724332	0	0	1.84219659	1.77054769	0	0	0	0	0	0	0	0
GH129	192.8307528	246.669008	244.1101006	184.0362079	208.3682733	357.9928055	272.8337275	286.6212186	211.0958291	349.1366114	300.7882723	473.8774342	162.1007756	240.2360751	152.4475323	205.3312586	200.0689855	124.1132175	176.9220318	135.2611032	88.72053014	43.41222217	92.38108982	99.77929298	227.3873718	142.4495136	137.3920387	153.5078927	167.8901528	35.49156328	165.7664138	166.1964929	153.9116608	152.3554806	134.1269148	180.1702597
GH149	0	0	5.69595481	13.12309151	1.24141409	0	32.55136291	13.16268848	16.37402112	4.59240512	3.14033192	8.5828579	0	40.29498083	0	24.26937191	1.74610586	22.5628529	4.65375735	18.87669782	10.39241755	0	32.08205692	22.13088267	0	1.98634241	5.82622417	27.22981508	3.0363706	0	0	0	49.91695767	3.01072566	0	0
GT49	0	9.51521601	12.54115018	28.33606829	12.74791891	6.57002073	17.25230478	30.69401667	33.31113473	4.16564547	19.96109605	36.93552483	19.8718012	13.63685327	4.84252729	1.64447214	4.58780754	15.60065036	17.25771748	7.46186789	14.43523739	8.77226661	27.18270021	33.22626428	5.26404282	7.59136804	9.18215362	28.94375332	19.19740324	18.90849026	13.41255387	2.42105634	18.98660431	16.67278766	4.10594123	8.53661322
CBM83	52.84488556	6.16372245	7.54271968	17.96967299	42.18828687	28.68947828	23.98875718	33.03617966	14.1051147	36.08410697	2.84644431	8.58581446	14.73422296	6.08697032	69.94052838	34.74637484	57.2413486	28.2333052	16.74745209	73.43867769	25.67555067	27.87789135	20.01645944	11.83191095	27.90626108	71.6295485	44.55851197	35.41542298	11.29230792	10.05261769	15.41071826	8.60815803	7.3522074	4.64704527	11.42799231	3.65631199
CBM11	0	5.22405755	0	6.64174869	0	0	29.38702835	31.91220642	0	9.9010569	6.77044037	0	9.55090462	3.32197331	6.08647925	0	2.65920708	0	0	0	0	0	3.37454979	3.05786413	9.43273728	0	0	0	0	0	0	0	0	0	0	0
GT57	24.93404809	115.0799862	68.68085111	42.08577049	21.88626114	30.94134707	22.50689281	22.39534007	37.90686474	69.74010961	92.92708978	48.6825427	61.82368954	19.59252953	23.80964225	14.51884829	51.63508439	33.01211735	16.05858975	23.20110643	17.56635876	29.22887396	125.4823919	155.3214209	15.30549754	3.39930764	35.12248767	42.21317897	6.60839723	69.44592364	23.15548972	10.69844876	26.99632899	17.58045693	3.10356762	13.04745442
GH126	71.32965871	85.8170163	37.89591543	102.7537793	129.6424034	72.67808292	87.5357847	59.0432117	51.03926844	53.53698928	73.47939435	72.07801535	61.61029781	37.96012179	57.23931871	87.9499372	66.16757009	101.061201	38.01214639	151.7604794	95.41837572	76.12864251	32.56857557	23.67355966	396.2209792	26.39609002	38.31370269	85.03374435	54.0320007	64.47421306	109.0452247	65.7310726	52.14450176	54.13199875	43.74859175	51.76260719
