Class	OW	OW	OW	OW	OW	OW	OW	OW	OW	OW	OW	OW	OC	OC	OC	OC	OC	OC	OC	OC	OC	OC	OC	OC
k__Archaea	2.21153577319876	2.81651085406433	2.2994976615278	0.651972743333053	0.788436268068331	1.75297415469628	0.684695951227138	1.93644720265037	1.71650055370986	0.373127332045825	3.03688516270478	1.87486214248952	0.477272727272727	7.49788230604415	0.622788068207933	0.428730036723888	1.36751640438999	1.03091060985798	0.0376170307623718	0.557776331690992	0.880718255664814	0.234188119971228	0.522381056648628	0.652360515021459
k__Bacteria	63.0022087398999	42.1565520519727	31.2647958889081	69.5788115868876	29.4306690281666	48.7734545795947	35.5010161012975	47.0813307825113	63.2871908453304	30.9901936887106	44.6174458496579	40.1698404529079	36.0965909090909	20.9427475210524	29.4778691915246	26.9450849773678	36.7574473027118	27.5906432748538	26.3765046812305	34.9772241331226	33.0782385634887	33.9589501681136	41.3588163533423	32.3476394849785
k__Archaea|p__Euryarchaeota	2.21153577319876	2.81651085406433	2.2994976615278	0.651972743333053	0.788436268068331	1.75297415469628	0.684695951227138	1.93644720265037	1.71650055370986	0.373127332045825	3.03688516270478	1.87486214248952	0.477272727272727	7.49788230604415	0.622788068207933	0.428730036723888	1.36751640438999	1.03091060985798	0.0376170307623718	0.557776331690992	0.880718255664814	0.234188119971228	0.522381056648628	0.652360515021459
k__Bacteria|p__Actinobacteria	0.00419380993653368	0.0316906987799081	0.0447485420636295	54.9535907574101	0.158544249557219	9.37780817875776	0.00937939659215257	0.0139984135131352	0.00369139904023625	0.00187501171882324	0.0060900103530176	0.0202191015366517	0.00378787878787879	0.0124570232697195	0.011490554763984	0.0017080877957127	3.03989315370768	0.100250626566416	0.00278644672313865	0.0371850887793995	1.38948268490808	0.27266188253793	0.0125121211173324	0.253218884120172
k__Bacteria|p__Bacteroidetes	18.187155758101	20.3652353034384	16.8976268837693	1.1342923642074	13.1206078957893	13.6603226974611	11.0801938408629	18.4265783211236	42.984496124031	7.54317214482591	26.6884553703741	20.3330637453128	11.3731060606061	7.09676615675918	10.8723629176817	13.8389273208643	14.7465303989315	11.9415204678363	9.45302050824788	10.5791577577391	13.6425823001283	14.3657683879493	21.2580937783478	9.77682403433476
k__Bacteria|p__Fibrobacteres	0	0	0	0	0.207107353025196	0	0	0	0	0	0	0	5.26325757575758	0.00124570232697195	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes	44.8010736153438	14.0574658004542	13.3552745539581	7.17730854434817	14.6617722676113	13.4564573022707	14.1159918711896	19.5137884373104	20.297157622739	20.3401271257945	12.7646616999249	17.9839717667819	12.3844696969697	12.1792316508047	10.4541067242726	12.7440430438125	12.6386388711457	12.5597326649958	14.1509696834597	14.209352049828	15.9512612227448	14.6635218547699	16.0374112421408	15.5579399141631
k__Bacteria|p__Proteobacteria	0	0.0673427349073047	0.0360875339222819	6.28417599057794	0	0.0469426896819968	0	0	0.00184569952011812	0.00375002343764649	0.0324800552160939	0.0183810013969561	0	0.0772335442722607	0.360803419589098	0	0.0406480459903606	0	0.0626950512706197	0	1.16716545532279	0.294407922249544	1.92373862178986	0.0429184549356223
k__Bacteria|p__Unassigned	0.00978555651857858	0.216553108329372	0.538426006120446	0.0084125515268781	0.815574472947495	0.193135637548787	0.284508363295295	0.485278335122019	0	0.223126394539966	0.255780434826739	0.0863907065656937	0.191287878787879	0.276545916587772	0.298754423863584	0.160560252796994	0.505197143023053	0.0885547201336675	0.592119928666964	0.250999349260946	0.26507054296708	0.260952476539369	0.378491663799306	1.68669527896996
k__Bacteria|p__Verrucomicrobia	0	7.41826440606349	0.392632369074427	0.0210313788171953	0.467062789236131	12.0387880738744	10.0109426293575	8.64168727544212	0	2.87814298839368	4.86997827896307	1.72781413131387	6.88068181818182	1.29926752703174	7.48035115135359	0.199846272098386	5.78653968991348	2.90058479532164	2.11491306286224	9.90052988751511	0.6626763574177	4.10163764406751	1.74856892614721	5.03004291845494
k__Archaea|p__Euryarchaeota|c__Methanobacteria	2.21153577319876	2.81651085406433	2.2994976615278	0.651972743333053	0.788436268068331	1.75297415469628	0.684695951227138	1.93644720265037	1.71650055370986	0.373127332045825	3.03688516270478	1.87486214248952	0.477272727272727	7.49788230604415	0.622788068207933	0.428730036723888	1.36751640438999	1.03091060985798	0.0376170307623718	0.557776331690992	0.880718255664814	0.234188119971228	0.522381056648628	0.652360515021459
k__Bacteria|p__Actinobacteria|c__Actinobacteria	0.00419380993653368	0.0316906987799081	0.0447485420636295	54.9535907574101	0.158544249557219	9.37780817875776	0.00937939659215257	0.0139984135131352	0.00369139904023625	0.00187501171882324	0.0060900103530176	0.0202191015366517	0.00378787878787879	0.0124570232697195	0.011490554763984	0.0017080877957127	3.03989315370768	0.100250626566416	0.00278644672313865	0.0371850887793995	1.38948268490808	0.27266188253793	0.0125121211173324	0.253218884120172
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	18.187155758101	20.3652353034384	16.8976268837693	1.1342923642074	13.1206078957893	13.6603226974611	11.0801938408629	18.4265783211236	42.984496124031	7.54317214482591	26.6884553703741	20.3330637453128	11.3731060606061	7.09676615675918	10.8723629176817	13.8389273208643	14.7465303989315	11.9415204678363	9.45302050824788	10.5791577577391	13.6425823001283	14.3657683879493	21.2580937783478	9.77682403433476
k__Bacteria|p__Fibrobacteres|c__Fibrobacteria	0	0	0	0	0.207107353025196	0	0	0	0	0	0	0	5.26325757575758	0.00124570232697195	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli	0	0	0	6.92072572277839	0	0	0	0	0	0	0	0	0	0	0	0	0.00580686371290866	0	0	0	0	0.00167277228550877	0	0
k__Bacteria|p__Firmicutes|c__Clostridia	44.8010736153438	13.9333438968996	12.3563716149893	0.256582821569782	14.60035422499	13.4564573022707	13.9815538533688	19.5137884373104	20.297157622739	20.197626235164	12.6124114410995	17.9839717667819	11.9166666666667	11.6062085803976	10.1070919704003	12.33068579725	12.333778526218	12.1002506265664	13.7371823450736	14.1489262805615	15.1603249251817	14.1533263076897	15.9967468485095	15.2317596566524
k__Bacteria|p__Firmicutes|c__Negativicutes	0	0.12412190355464	0.998902938968763	0	0.0614180426212649	0	0.134438017820854	0	0	0.142500890630566	0.15225025882544	0	0.46780303030303	0.573023070407096	0.347014753872317	0.413357246562473	0.299053481214796	0.459482038429407	0.41378733838609	0.0604257692665241	0.790936297563061	0.508522774794667	0.0406643936313304	0.32618025751073
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	0	0.0673427349073047	0.0360875339222819	6.28417599057794	0	0.0469426896819968	0	0	0.00184569952011812	0.00375002343764649	0.0324800552160939	0.0183810013969561	0	0.0772335442722607	0.360803419589098	0	0.0406480459903606	0	0.0626950512706197	0	1.16716545532279	0.294407922249544	1.92373862178986	0.0429184549356223
k__Bacteria|p__Unassigned|c__Unassigned	0.00978555651857858	0.216553108329372	0.538426006120446	0.0084125515268781	0.815574472947495	0.193135637548787	0.284508363295295	0.485278335122019	0	0.223126394539966	0.255780434826739	0.0863907065656937	0.191287878787879	0.276545916587772	0.298754423863584	0.160560252796994	0.505197143023053	0.0885547201336675	0.592119928666964	0.250999349260946	0.26507054296708	0.260952476539369	0.378491663799306	1.68669527896996
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	0	7.41826440606349	0.392632369074427	0.0210313788171953	0.467062789236131	12.0387880738744	10.0109426293575	8.64168727544212	0	2.87814298839368	4.86997827896307	1.72781413131387	6.88068181818182	1.29926752703174	7.48035115135359	0.199846272098386	5.78653968991348	2.90058479532164	2.11491306286224	9.90052988751511	0.6626763574177	4.10163764406751	1.74856892614721	5.03004291845494
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	2.21153577319876	2.81651085406433	2.2994976615278	0.651972743333053	0.788436268068331	1.75297415469628	0.684695951227138	1.93644720265037	1.71650055370986	0.373127332045825	3.03688516270478	1.87486214248952	0.477272727272727	7.49788230604415	0.622788068207933	0.428730036723888	1.36751640438999	1.03091060985798	0.0376170307623718	0.557776331690992	0.880718255664814	0.234188119971228	0.522381056648628	0.652360515021459
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales	0	0	0	8.58921510894254	0.00142832657258756	0	0.00312646553071752	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00427533133817871	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales	0.00419380993653368	0.0316906987799081	0.0447485420636295	46.3643756484675	0.157115922984631	9.37780817875776	0.00625293106143505	0.0139984135131352	0.00369139904023625	0.00187501171882324	0.0060900103530176	0.0202191015366517	0.00378787878787879	0.0124570232697195	0.011490554763984	0.0017080877957127	3.03989315370768	0.100250626566416	0.00278644672313865	0.0371850887793995	1.3852073535699	0.27266188253793	0.0125121211173324	0.253218884120172
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	18.187155758101	20.3652353034384	16.8976268837693	1.1342923642074	13.1206078957893	13.6603226974611	11.0801938408629	18.4265783211236	42.984496124031	7.54317214482591	26.6884553703741	20.3330637453128	11.3731060606061	7.09676615675918	10.8723629176817	13.8389273208643	14.7465303989315	11.9415204678363	9.45302050824788	10.5791577577391	13.6425823001283	14.3657683879493	21.2580937783478	9.77682403433476
k__Bacteria|p__Fibrobacteres|c__Fibrobacteria|o__Fibrobacterales	0	0	0	0	0.207107353025196	0	0	0	0	0	0	0	5.26325757575758	0.00124570232697195	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	0	0	0	6.92072572277839	0	0	0	0	0	0	0	0	0	0	0	0	0.00580686371290866	0	0	0	0	0.00167277228550877	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	44.8010736153438	13.9333438968996	12.3563716149893	0.256582821569782	14.60035422499	13.4564573022707	13.9815538533688	19.5137884373104	20.297157622739	20.197626235164	12.6124114410995	17.9839717667819	11.9166666666667	11.6062085803976	10.1070919704003	12.33068579725	12.333778526218	12.1002506265664	13.7371823450736	14.1489262805615	15.1603249251817	14.1533263076897	15.9967468485095	15.2317596566524
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	0	0.12412190355464	0.998902938968763	0	0.0614180426212649	0	0.134438017820854	0	0	0.142500890630566	0.15225025882544	0	0.46780303030303	0.573023070407096	0.347014753872317	0.413357246562473	0.299053481214796	0.459482038429407	0.41378733838609	0.0604257692665241	0.790936297563061	0.508522774794667	0.0406643936313304	0.32618025751073
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales	0	0.0633813975598162	0.0360875339222819	0.636549732200443	0	0.0469426896819968	0	0	0.00184569952011812	0.00375002343764649	0.030450051765088	0.00183810013969561	0	0.0772335442722607	0.360803419589098	0	0.0348411822774519	0	0.0626950512706197	0	1.16716545532279	0.294407922249544	1.92373862178986	0.0429184549356223
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	0	0.00396133734748851	0	5.6476262583775	0	0	0	0	0	0	0.00203000345100587	0.0165429012572605	0	0	0	0	0.00580686371290866	0	0	0	0	0	0	0
k__Bacteria|p__Unassigned|c__Unassigned|o__Unassigned	0.00978555651857858	0.216553108329372	0.538426006120446	0.0084125515268781	0.815574472947495	0.193135637548787	0.284508363295295	0.485278335122019	0	0.223126394539966	0.255780434826739	0.0863907065656937	0.191287878787879	0.276545916587772	0.298754423863584	0.160560252796994	0.505197143023053	0.0885547201336675	0.592119928666964	0.250999349260946	0.26507054296708	0.260952476539369	0.378491663799306	1.68669527896996
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	0	7.41826440606349	0.392632369074427	0.0210313788171953	0.467062789236131	12.0387880738744	10.0109426293575	8.64168727544212	0	2.87814298839368	4.86997827896307	1.72781413131387	6.88068181818182	1.29926752703174	7.48035115135359	0.199846272098386	5.78653968991348	2.90058479532164	2.11491306286224	9.90052988751511	0.6626763574177	4.10163764406751	1.74856892614721	5.03004291845494
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae	2.21153577319876	2.81651085406433	2.2994976615278	0.651972743333053	0.788436268068331	1.75297415469628	0.684695951227138	1.93644720265037	1.71650055370986	0.373127332045825	3.03688516270478	1.87486214248952	0.477272727272727	7.49788230604415	0.622788068207933	0.428730036723888	1.36751640438999	1.03091060985798	0.0376170307623718	0.557776331690992	0.880718255664814	0.234188119971228	0.522381056648628	0.652360515021459
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Nocardiaceae	0	0	0	8.58921510894254	0.00142832657258756	0	0.00312646553071752	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00427533133817871	0	0	0
