bray_curtis,OC1,OC2,OC3,OC4,OC5,OC6,OC7,OC8,OC9,OC10,OC11,OC12,CC1,CC2,CC3,CC4,CC5,CC6,CC7,CC8,CC9,CC10,CC11,CC12,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12
CC9,0.849,0.929,0.272,0.813,0.353,0.522,0.763,0.815,0.351,0.369,0.257,0.502,0.922,0.233,0.647,0.102,0.904,0.893,0.735,0.755,0,0.39,0.345,0.708,0.606,0.695,0.864,0.721,0.406,0.234,0.571,0.589,0.301,0.427,0.361,0.251
CC10,0.866,0.948,0.465,0.845,0.501,0.184,0.69,0.843,0.508,0.424,0.326,0.157,0.937,0.259,0.266,0.394,0.923,0.914,0.378,0.372,0.39,0,0.0961,0.341,0.663,0.756,0.91,0.734,0.119,0.557,0.642,0.655,0.518,0.217,0.3,0.429
CC11,0.859,0.944,0.433,0.85,0.461,0.258,0.694,0.838,0.478,0.421,0.282,0.223,0.922,0.227,0.338,0.333,0.905,0.894,0.452,0.443,0.345,0.0961,0,0.397,0.649,0.741,0.887,0.736,0.113,0.514,0.625,0.644,0.472,0.215,0.266,0.387
CC12,0.854,0.935,0.764,0.855,0.803,0.327,0.683,0.825,0.794,0.727,0.598,0.289,0.919,0.572,0.133,0.71,0.92,0.919,0.0906,0.0827,0.708,0.341,0.397,0,0.848,0.856,0.937,0.868,0.406,0.858,0.824,0.827,0.829,0.469,0.587,0.729
PC1,0.871,0.913,0.626,0.796,0.61,0.646,0.897,0.891,0.635,0.654,0.632,0.651,0.911,0.641,0.77,0.61,0.851,0.833,0.88,0.881,0.606,0.663,0.649,0.848,0,0.502,0.636,0.701,0.687,0.637,0.466,0.418,0.483,0.669,0.66,0.627
PC2,0.872,0.869,0.707,0.734,0.686,0.708,0.894,0.892,0.656,0.737,0.738,0.761,0.857,0.743,0.796,0.706,0.846,0.81,0.89,0.893,0.695,0.756,0.741,0.856,0.502,0,0.53,0.75,0.776,0.723,0.442,0.383,0.494,0.743,0.748,0.702
PC3,0.927,0.93,0.906,0.914,0.856,0.927,0.948,0.933,0.916,0.918,0.909,0.925,0.924,0.887,0.942,0.834,0.872,0.838,0.949,0.941,0.864,0.91,0.887,0.937,0.636,0.53,0,0.907,0.944,0.895,0.713,0.611,0.693,0.926,0.927,0.883
PC4,0.838,0.894,0.687,0.822,0.677,0.696,0.875,0.812,0.681,0.685,0.721,0.722,0.894,0.72,0.775,0.731,0.842,0.875,0.891,0.892,0.721,0.734,0.736,0.868,0.701,0.75,0.907,0,0.699,0.658,0.7,0.715,0.721,0.667,0.659,0.65
PC5,0.844,0.926,0.429,0.848,0.468,0.23,0.691,0.84,0.486,0.426,0.305,0.221,0.917,0.253,0.319,0.4,0.912,0.917,0.431,0.434,0.406,0.119,0.113,0.406,0.687,0.776,0.944,0.699,0,0.489,0.677,0.703,0.525,0.193,0.241,0.379
PC6,0.852,0.903,0.372,0.829,0.387,0.663,0.879,0.873,0.426,0.515,0.428,0.663,0.91,0.374,0.765,0.259,0.87,0.882,0.882,0.888,0.234,0.557,0.514,0.858,0.637,0.723,0.895,0.658,0.489,0,0.627,0.661,0.371,0.529,0.454,0.335
PC7,0.881,0.923,0.621,0.741,0.614,0.621,0.857,0.848,0.521,0.607,0.6,0.624,0.916,0.653,0.765,0.621,0.867,0.846,0.856,0.867,0.571,0.642,0.625,0.824,0.466,0.442,0.713,0.7,0.677,0.627,0,0.288,0.374,0.604,0.609,0.558
PC8,0.898,0.948,0.652,0.756,0.638,0.651,0.887,0.886,0.547,0.655,0.64,0.664,0.936,0.665,0.761,0.636,0.885,0.866,0.862,0.868,0.589,0.655,0.644,0.827,0.418,0.383,0.611,0.715,0.703,0.661,0.288,0,0.374,0.655,0.66,0.613
PC9,0.898,0.942,0.361,0.798,0.372,0.634,0.882,0.879,0.371,0.49,0.369,0.625,0.935,0.391,0.77,0.348,0.894,0.875,0.855,0.872,0.301,0.518,0.472,0.829,0.483,0.494,0.693,0.721,0.525,0.371,0.374,0.374,0,0.54,0.477,0.338
PC10,0.789,0.895,0.435,0.788,0.494,0.285,0.58,0.719,0.457,0.329,0.33,0.279,0.864,0.306,0.407,0.45,0.845,0.847,0.496,0.511,0.427,0.217,0.215,0.469,0.669,0.743,0.926,0.667,0.193,0.529,0.604,0.655,0.54,0,0.139,0.279
PC11,0.779,0.886,0.359,0.783,0.426,0.394,0.577,0.709,0.376,0.273,0.254,0.381,0.855,0.27,0.521,0.377,0.842,0.846,0.609,0.626,0.361,0.3,0.266,0.587,0.66,0.748,0.927,0.659,0.241,0.454,0.609,0.66,0.477,0.139,0,0.189
PC12,0.775,0.892,0.265,0.776,0.331,0.536,0.692,0.709,0.295,0.266,0.281,0.524,0.853,0.321,0.667,0.3,0.831,0.842,0.755,0.766,0.251,0.429,0.387,0.729,0.627,0.702,0.883,0.65,0.379,0.335,0.558,0.613,0.338,0.279,0.189,0
