Class	OW	OW	OW	OW	OW	OW	OW	OW	OW	OW	OW	OW	CW	CW	CW	CW	CW	CW	CW	CW	CW	CW	CW	CW	PW	PW	PW	PW	PW	PW	PW	PW	PW	PW	PW	PW
k__Unassigned	60.2314983084967	43.7080758464057	33.723078699694	52.701831132049	31.1246643432554	53.2356925387948	31.2083789276223	49.1017684662405	62.5526024363234	30.6826917668235	46.4809890176813	41.9160355856187	37.298136211742	57.2593122494136	46.7394749733452	34.4936754607879	38.3353363704967	36.3494725167355	50.5407882676444	39.6573313379959	43.2030643130742	38.5278423860993	38.6321921634347	35.5820511248697	39.0260926385197	32.3569870827042	33.0650926926594	41.6139848416053	36.9197714894822	36.7317670566244	40.3926329775049	38.7401877235519	30.0388737008455	33.6125888381575	35.5217199633762	36.4814301552106
k__Unassigned|p__Unassigned	60.2314983084967	43.7080758464057	33.723078699694	52.701831132049	31.1246643432554	53.2356925387948	31.2083789276223	49.1017684662405	62.5526024363234	30.6826917668235	46.4809890176813	41.9160355856187	37.298136211742	57.2593122494136	46.7394749733452	34.4936754607879	38.3353363704967	36.3494725167355	50.5407882676444	39.6573313379959	43.2030643130742	38.5278423860993	38.6321921634347	35.5820511248697	39.0260926385197	32.3569870827042	33.0650926926594	41.6139848416053	36.9197714894822	36.7317670566244	40.3926329775049	38.7401877235519	30.0388737008455	33.6125888381575	35.5217199633762	36.4814301552106
k__Unassigned|p__Unassigned|c__Unassigned	60.2314983084967	43.7080758464057	33.723078699694	52.701831132049	31.1246643432554	53.2356925387948	31.2083789276223	49.1017684662405	62.5526024363234	30.6826917668235	46.4809890176813	41.9160355856187	37.298136211742	57.2593122494136	46.7394749733452	34.4936754607879	38.3353363704967	36.3494725167355	50.5407882676444	39.6573313379959	43.2030643130742	38.5278423860993	38.6321921634347	35.5820511248697	39.0260926385197	32.3569870827042	33.0650926926594	41.6139848416053	36.9197714894822	36.7317670566244	40.3926329775049	38.7401877235519	30.0388737008455	33.6125888381575	35.5217199633762	36.4814301552106
k__Unassigned|p__Unassigned|c__Unassigned|o__Unassigned	60.2314983084967	43.7080758464057	33.723078699694	52.701831132049	31.1246643432554	53.2356925387948	31.2083789276223	49.1017684662405	62.5526024363234	30.6826917668235	46.4809890176813	41.9160355856187	37.298136211742	57.2593122494136	46.7394749733452	34.4936754607879	38.3353363704967	36.3494725167355	50.5407882676444	39.6573313379959	43.2030643130742	38.5278423860993	38.6321921634347	35.5820511248697	39.0260926385197	32.3569870827042	33.0650926926594	41.6139848416053	36.9197714894822	36.7317670566244	40.3926329775049	38.7401877235519	30.0388737008455	33.6125888381575	35.5217199633762	36.4814301552106
k__Unassigned|p__Unassigned|c__Unassigned|o__Unassigned|f__Acidaminococcaceae	0	0.0224475783024349	0	0.00140209192114635	0.0142832657258756	0	0.0750351727372206	0	0	0.0806255039093994	0.0324800552160939	0	0.0237692426000755	0.00166364437937746	0.00720398812782757	0.0621611853993495	0.0195645490371447	0.0950658198766785	0.0314259525991882	0.0519194942430443	0.08303645568264	0.597436949879144	0.187534913414731	0.450560902347821	0.207909470276371	0.38919644354974	0.229445506692161	0.462785093080926	0.266484568877933	0.291662638177189	0.0893388921977367	0.110425618743548	0.287227047790428	0.154986805177397	0.120383871952253	0.0993163340724316
k__Unassigned|p__Unassigned|c__Unassigned|o__Unassigned|f__Bacteroidaceae	9.15089328151648	0.689272698463001	2.58531093019227	1.02492919435798	4.54207850082843	1.82808245818748	1.9446615601063	2.44972236479866	33.6064968623108	0.905630660191626	1.9021132335925	4.29747812660834	1.91132674319431	0.645494019198456	0.410627323286171	0.312251535959523	1.62246010229464	2.99325296750597	0.434725677622103	0.626088018813181	0.551790640987866	1.34081269667533	1.21698188492539	2.14859314657022	1.42566493903797	2.74450595537661	0.753179815446006	1.37787712619189	1.26746723072567	1.34712688130459	1.13620744948916	1.43553304366613	2.33588261757276	5.08803529789581	4.18122011597545	3.07187730968219
k__Unassigned|p__Unassigned|c__Unassigned|o__Unassigned|f__Bacteroidales_S24-7_group	0	10.5292346696245	0.480685951844795	0.0028041838422927	0.30423355996115	0.0348717123351976	0.143817414413006	2.41239326209696	0	0.0843755273470459	16.2075475528308	2.56414969487538	0.0671131555766838	0.0366001763463042	0.280955536985275	0.0867365377665341	0.153721456720423	0.409311168913477	1.3356029854655	2.63262376691201	1.10358128197573	0.209787020568249	0.147633868007342	0.180837368969534	0.99648038968175	0.768327461835263	0.543686091944468	0.417379763193741	0.702853050415549	1.20532405169358	0.9025518852797	0.87140216530235	0.249160812541094	1.50379089347799	0.691783376852386	0.623614190687361
k__Unassigned|p__Unassigned|c__Unassigned|o__Unassigned|f__Christensenellaceae	4.54888584449353	0.619289071990704	0.40706738264334	0	0.254242129920585	0.164970023739589	0.318899484133187	0.732583640520741	0	0.862505390658692	0.572460973183654	0.950297772222631	0.387298835307113	0.384301851636194	0.188744488949082	0.323816407661727	0.279493557673496	0.340652521224765	0.659945004582951	0.561952172983538	0.549112045643265	0.205226433164592	0.5426542175405	0.594617789493042	0.74104875477078	0.885757423251132	0.576939063928839	0.780622402291223	0.757815492746623	0.505978278384737	0.657442616942319	0.616943130806347	0.453334256151158	0.516622683924657	0.350978330903049	0.586659275683666
k__Unassigned|p__Unassigned|c__Unassigned|o__Unassigned|f__Corynebacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	14.0295130512902	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Unassigned|p__Unassigned|c__Unassigned|o__Unassigned|f__Lachnospiraceae	14.632202868566	2.92082607088153	3.78630405912582	0.0056083676845854	2.76381191795692	5.17174318325085	2.58246052837267	2.02510382156689	10.8361018826135	4.68940430877693	2.96177503501756	3.69458128078818	2.95717341759763	3.12598778885026	7.25441604472236	4.97289483194796	4.04846418290058	6.67573312911787	5.88189079481472	7.35118956723575	6.08844721827873	3.69407579696265	2.078844465725	3.91405627413719	5.21555756864725	5.14007716826036	2.44908138664893	3.82627222241626	1.0709348611782	4.40877888426955	4.65936683923581	4.83952276928247	2.67847873481676	4.13996285901786	4.22360880328258	5.7649667405765
