Pathway,OC1,OC2,OC3,OC4,OC5,OC6,CC1,CC2,CC3,CC4,CC5,CC6,PC1,PC2,PC3,PC4,PC5,PC6,SUM,Description
ko00760,74317,74881,73166,69827,72463,75304,69486,76296,72392,72573,69791,71093,70131,73310,70568,69822,70604,70224,1296248,Metabolism; Metabolism of cofactors and vitamins; Nicotinate and nicotinamide metabolism
ko00511,74034,79184,73522,74131,69535,56086,72782,78186,74458,70223,70104,65868,80122,80753,71103,66234,69808,69637,1295770,Metabolism; Glycan biosynthesis and metabolism; Other glycan degradation
ko00900,67051,65788,68018,64104,66175,67213,63362,69391,65929,66010,63868,61862,63792,67218,64327,65314,64809,65289,1179520,Metabolism; Metabolism of terpenoids and polyketides; Terpenoid backbone biosynthesis
ko00983,67496,65881,67002,62631,66177,68804,65109,69744,65012,67187,64894,64156,62789,65803,65248,60952,63961,64269,1177115,Metabolism; Xenobiotics biodegradation and metabolism; Drug metabolism - other enzymes
ko00564,64840,65338,65421,58666,61068,66575,65398,68034,63680,65513,66702,67029,61744,61370,62954,64759,62402,63491,1154984,Metabolism; Lipid metabolism; Glycerophospholipid metabolism
ko00770,62717,63575,62286,58914,59825,64661,59003,64774,62064,60293,59531,53797,60939,62838,59022,58172,59920,58377,1090708,Metabolism; Metabolism of cofactors and vitamins; Pantothenate and CoA biosynthesis
ko00061,61322,58014,56920,62205,62007,56920,51313,61278,61232,55457,48427,51109,61026,60932,58041,50076,59680,55632,1031591,Metabolism; Lipid metabolism; Fatty acid biosynthesis
ko00340,57653,59609,57489,53951,56389,61109,57492,60472,59324,57195,56606,55665,53787,57249,55726,56952,56241,56956,1029865,Metabolism; Amino acid metabolism; Histidine metabolism
ko00600,58744,62771,57122,57735,54658,44446,55502,61095,56929,54399,54338,53471,62168,61588,55607,53028,54316,54381,1012298,Metabolism; Lipid metabolism; Sphingolipid metabolism
ko00470,58168,57422,57369,53989,55607,60385,51949,57880,54855,57120,54712,55755,52240,55186,54508,55017,51703,55965,999830,Metabolism; Metabolism of other amino acids; D-Amino acid metabolism
ko00561,54962,55707,56109,48288,51605,64015,56897,57687,52565,56276,59465,60267,45981,49174,51291,52035,50677,51929,974930,Metabolism; Lipid metabolism; Glycerolipid metabolism
ko00450,53074,55905,54789,48459,52371,57910,47768,55112,51142,54073,50791,51270,47262,51190,49460,48045,47487,49375,925483,Metabolism; Metabolism of other amino acids; Selenocompound metabolism
