OTUID	All	CC	OC	PC
ASV_241	0.129585	0.1616518	0.0508073	0.1762967
ASV_143	0.086793	0.245967616	0.001456417	0.012956158
ASV_192	0.075739	0.2128651948	0.0003873447	0.0139654706
ASV_134	0.155689	0.1108094	0.1342378	0.2220184
ASV_133	0.126816	0.15767365	0.07458034	0.14819326
ASV_66	0.119436	0.1422503	0.1076839	0.1083744
ASV_272	0.079663	0.230558414	0.005550241	0.002878858
ASV_118	0.122034	0.1198034	0.1177681	0.1285313
ASV_141	0.125036	0.08709346	0.10927452	0.17874122
ASV_129	0.126349	0.08552951	0.13127811	0.16223904
ASV_135	0.110838	0.03607565	0.10760103	0.18883877
ASV_341	0.097955	0.150170022	0.142344938	0.001349744
ASV_55	0.103876	0.18853828	0.06188507	0.06120401
ASV_265	0.101507	0.01066357	0.00000000	0.29385602
ASV_145	0.103193	0.13189519	0.02898605	0.14869800
ASV_176	0.12352	0.15588226	0.08183238	0.13284540
ASV_269	0.094041	2.796683e-01	2.357548e-03	9.722028e-05
ASV_277	0.094103	0.10405166	0.07856513	0.09969321
ASV_82	0.113533	0.11525309	0.12903787	0.09630773
ASV_128	0.098058	0.11653901	0.01793973	0.15969532
ASV_155	0.127004	0.01593285	0.11626518	0.24881450
ASV_309	0.104599	0.02244649	0.27207516	0.01927419
ASV_196	0.168599	0.0000000	0.3537281	0.1520699
ASV_152	0.110036	0.23178469	0.02418391	0.07413938
ASV_164	0.13359	0.05295706	0.25515840	0.09265484
ASV_313	0.134931	0.1310120	0.1317873	0.1419947
ASV_106	0.107444	0.04203556	0.12596776	0.15432989
ASV_72	0.128398	0.17961866	0.12339458	0.08218137
ASV_153	0.108175	0.03976153	0.00953706	0.27522610
ASV_88	0.113771	0.0000000	0.0000000	0.3413133
ASV_131	0.116436	0.01774226	0.23659652	0.09496968
ASV_218	0.083887	0.0002245516	0.0053551320	0.2460804036
ASV_273	0.102091	0.16648676	0.08230495	0.05748068
ASV_107	0.096977	0.13736332	0.07919296	0.07437527
ASV_220	0.118771	0.01982996	0.17629480	0.16018896
ASV_283	0.08552	0.0959105462	0.1604407609	0.0002076171
ASV_54	0.108572	0.1083700	0.1009294	0.1164177
ASV_303	0.091944	0.14175078	0.05160744	0.08247240
ASV_98	0.11198	0.10659096	0.06979456	0.15955388
ASV_476	0.092274	0.234536230	0.006515641	0.035771462
ASV_8462	0.106409	0.09262683	0.09678744	0.12981272
ASV_151	0.101201	0.13464126	0.06520948	0.10375270
ASV_9	0.113139	0.06143159	0.14144468	0.13654139
ASV_189	0.108944	0.11166079	0.07636946	0.13880321
ASV_225	0.092817	0.11340187	0.04457942	0.12046965
ASV_147	0.159988	0.0002124658	0.3936830845	0.0860682581
ASV_295	0.09448	0.22710149	0.05471760	0.00162193
ASV_262	0.086825	0.15684475	0.05002343	0.05360645
ASV_240	0.104216	0.11823957	0.12939945	0.06500803
ASV_671	0.110786	0.23002759	0.05180351	0.05052709
ASV_163	0.118938	0.12248215	0.04491753	0.18941412
ASV_95	0.111828	0.02812652	0.15359250	0.15376431
ASV_219	0.088646	0.05505607	0.01912159	0.19176168
ASV_300	0.105713	0.14747151	0.15204121	0.01762548
ASV_110	0.097167	0.10068842	0.11213201	0.07867916
ASV_275	0.107762	0.1069555	0.1049334	0.1113960
ASV_71	0.105958	0.10931792	0.05527603	0.15328063
ASV_92	0.081071	0.10502183	0.06769780	0.07049316
ASV_304	0.113736	0.06425082	0.04908806	0.22786944
ASV_266	0.088435	0.05086376	0.10372252	0.11071916
ASV_250	0.078268	0.0004249316	0.0020643078	0.2323154183
ASV_358	0.06945	0.0002124658	0.2081378722	0.0000000000
ASV_177	0.091935	0.12294946	0.07391276	0.07894196
ASV_64	0.096786	0.11048070	0.12193563	0.05794126
ASV_374	0.108272	0.03741424	0.21518496	0.07221559
ASV_84	0.102547	0.15644166	0.06727254	0.08392589
ASV_121	0.093118	0.127239070	0.009154876	0.142960958
ASV_202	0.094847	0.02786003	0.10415146	0.15252982
ASV_181	0.091909	0.0625537	0.1107214	0.1024508
ASV_233	0.083791	0.03210279	0.01002037	0.20924876
ASV_1556	0.094019	0.12189041	0.06305688	0.09710900
ASV_290	0.08672	0.000000000	0.000139237	0.260021550
ASV_396	0.112651	0.122619379	0.212904438	0.002430401
ASV_232	0.091888	0.1088427	0.0585573	0.1082627
ASV_453	0.08604	0.07098790	0.10122895	0.08590304
ASV_289	0.082473	0.05770942	0.05731240	0.13239598
ASV_146	0.097713	0.02582165	0.04819219	0.21912385
ASV_327	0.099657	0.07477343	0.10905769	0.11513893
ASV_45	0.099218	0.009733548	0.217738479	0.070182923
ASV_287	0.096016	0.09686404	0.13305587	0.05812927
ASV_252	0.099351	0.00000000	0.02586281	0.27219107
ASV_200	0.077178	0.047108606	0.001549379	0.182877236
ASV_412	0.08962	0.10285066	0.12529344	0.04071657
ASV_166	0.092782	0.07772502	0.07081966	0.12980161
ASV_215	0.078031	0.05976005	0.05960963	0.11472396
ASV_247	0.094343	0.04534153	0.16319914	0.07448792
ASV_237	0.090322	0.09637784	0.10060633	0.07398152
ASV_234	0.083455	0.12046393	0.02839869	0.10150364
ASV_149	0.094436	0.09320135	0.12604943	0.06405648
ASV_68	0.089196	0.08116717	0.09748596	0.08893582
ASV_349	0.096076	0.21291282	0.02605412	0.04926039
ASV_383	0.142378	0.0000000	0.0000000	0.4271342
ASV_434	0.071592	0.2140392415	0.0007356505	0.0000000000
ASV_60	0.089226	0.12034638	0.04076879	0.10656177
ASV_222	0.059966	0.105561079	0.005227718	0.069109457
ASV_866	0.082186	0.13356408	0.08962248	0.02337149
ASV_346	0.106369	0.000000000	0.314386516	0.004721565
ASV_156	0.086774	0.10361427	0.06981947	0.08688815
ASV_201	0.078825	0.09367554	0.05194817	0.09085108
ASV_416	0.087093	0.07012044	0.15253169	0.03862787
ASV_242	0.097773	0.06479666	0.09738370	0.13113828
ASV_298	0.105541	0.03361352	0.02969376	0.25331714
ASV_214	0.081317	0.08875553	0.07903938	0.07615564
ASV_185	0.094765	0.09271548	0.13113810	0.06044254
ASV_111	0.078372	0.04092536	0.10283994	0.09135164
ASV_285	0.072941	0.09795731	0.05795355	0.06291073
ASV_299	0.078998	0.09200821	0.04475122	0.10023572
ASV_353	0.07577	0.12411767	0.04302383	0.06016866
ASV_284	0.054756	0.13344967	0.01876309	0.01205662
ASV_315	0.086926	0.09983881	0.06355128	0.09738870
ASV_178	0.090791	0.10851378	0.03328386	0.13057545
ASV_418	0.078188	0.05250820	0.05518109	0.12687538
ASV_238	0.083182	0.10963185	0.06186317	0.07805190
ASV_217	0.07825	0.11266833	0.05980429	0.06227736
ASV_404	0.069468	0.08527449	0.09300366	0.03012480
ASV_333	0.070784	0.16810915	0.04424315	0.00000000
ASV_191	0.082901	0.07931338	0.10640778	0.06298188
ASV_422	0.094257	0.001054836	0.033346101	0.248369460
ASV_1758	0.084846	0.07426783	0.09690207	0.08336752
ASV_292	0.080846	0.06131198	0.07088158	0.11034473
ASV_318	0.076806	0.2030667	0.0000000	0.0273523
ASV_381	0.077989	0.2211415073	0.0001578283	0.0126688755
ASV_351	0.081749	0.08147089	0.08578918	0.07798683
ASV_206	0.080376	0.05828972	0.15321335	0.02962518
ASV_263	0.07942	0.06052430	0.12484703	0.05288959
ASV_244	0.083159	0.21620078	0.01105226	0.02222299
ASV_423	0.081302	0.08725670	0.11090816	0.04574234
ASV_251	0.064356	0.0006736547	0.0000000000	0.1923955093
ASV_167	0.065118	0.0005492219	0.0305911968	0.1642148789
ASV_190	0.077817	0.06268385	0.03911141	0.13165692
ASV_182	0.074936	0.07048122	0.04203408	0.11229380
ASV_30	0.083667	0.10062811	0.06094888	0.08942348
ASV_8334	0.070189	0.10618728	0.04003224	0.06434692
ASV_173	0.069091	0.07873214	0.07729911	0.05124077
ASV_359	0.055803	0.08071597	0.00803093	0.07866144
ASV_187	0.073807	0.09812456	0.06087171	0.06242601
ASV_314	0.069273	0.07194279	0.05451727	0.08135984
ASV_509	0.085935	0.07854164	0.11271714	0.06654689
ASV_4526	0.070088	0.06315476	0.06890713	0.07820250
ASV_316	0.088488	0.11312768	0.12197184	0.03036497
ASV_339	0.064589	0.11184773	0.02766867	0.05425091
ASV_677	0.07579	0.03400710	0.06918535	0.12417878
