OTUID	All	CW	OW	PW
ASV_146	0.125376	0.12346059	0.06733405	0.18533276
ASV_110	0.139165	0.1444501	0.1273154	0.1457302
ASV_50	0.159044	0.12673041	0.29660924	0.05379095
ASV_7408	0.17272	0.03552923	0.41795738	0.06467192
ASV_321	0.10528	0.001456475	0.314384851	0.000000000
ASV_229	0.18008	0.344311817	0.190929714	0.004998769
ASV_270	0.103473	2.369231e-04	3.100851e-01	9.612686e-05
ASV_224	0.115123	0.16891679	0.08021041	0.09624070
ASV_104	0.124606	0.12849942	0.02209358	0.22322457
ASV_253	0.111361	0.03045119	0.10084727	0.20278347
ASV_106	0.187063	0.05298694	0.36946804	0.13873518
ASV_156	0.137916	0.12506426	0.06738116	0.22130258
ASV_131	0.14149	0.03969226	0.18514019	0.19963725
ASV_452	0.098575	0.0000000	0.2957246	0.0000000
ASV_75	0.127981	0.19219058	0.11595371	0.07579995
ASV_11	0.110917	0.10532641	0.01333788	0.21408779
ASV_112	0.140024	0.18080024	0.06623753	0.17303513
ASV_67	0.127528	0.08343156	0.07722432	0.22192691
ASV_324	0.096079	1.312096e-03	2.868280e-01	9.612686e-05
ASV_228	0.127559	0.1237837	0.2588937	0.0000000
ASV_164	0.118052	0.06875814	0.17026114	0.11513812
ASV_103	0.15894	0.14487311	0.29559405	0.03635354
ASV_44	0.103102	0.07723164	0.20455812	0.02751721
ASV_235	0.109615	0.037257916	0.002633837	0.288952574
ASV_508	0.093668	0.0000000	0.2810026	0.0000000
ASV_230	0.093541	0.002992184	0.001406259	0.276224978
ASV_393	0.11554	0.07935110	0.07339443	0.19387298
ASV_129	0.113258	0.07501932	0.15475704	0.10999615
ASV_306	0.117532	0.12608463	0.04092341	0.18558938
ASV_186	0.109959	0.05139489	0.21040671	0.06807523
ASV_335	0.110336	0.04755307	0.01028665	0.27316864
ASV_208	0.123711	0.18538888	0.01345767	0.17228774
ASV_118	0.127212	0.1214094	0.1595845	0.1006434
ASV_36	0.126299	0.13427859	0.01885614	0.22576352
