OTUID	All	CC	OC	PC
ASV833	0.016432	0.0013887675	0.0006206785	0.0472869925
ASV74	0.016224	0.0035798381	0.0007241249	0.0443681793
ASV897	0.014664	0.025448021	0.006210005	0.012332771
ASV834	0.015467	0.001677436	0.000000000	0.044724083
ASV898	0.015858	0.0006091275	0.0000000000	0.0469662784
ASV94	0.013645	0.039755707	0.001180108	0.000000000
ASV196	0.012319	0.009009988	0.027946690	0.000000000
ASV899	0.014294	0.0009871704	0.0418938375	0.0000000000
ASV900	0.014235	0.0001794855	0.0425254198	0.0000000000
ASV901	0.013246	0.0003459585	0.0000000000	0.0393910467
ASV155	0.017676	0.041787588	0.002611754	0.008628062
ASV902	0.013768	0.00000000	0.04130378	0.00000000
ASV836	0.013955	0.001454002	0.000000000	0.040412204
ASV148	0.010555	0.00000000	0.01334704	0.01831861
ASV481	0.01182	0.000461278	0.001963031	0.033036109
ASV903	0.012897	0.0007520435	0.0003103393	0.0376292097
ASV904	0.012101	0.00000000	0.00000000	0.03630367
ASV134	0.012258	0.0142195034	0.0006756323	0.0218776492
ASV164	0.010614	0.002296803	0.003776764	0.025767436
ASV905	0.011516	0.00000000	0.00000000	0.03454897
ASV1823	0.01028	0.00000000	0.00000000	0.03083929
ASV906	0.011789	0.00000000	0.03536644	0.00000000
ASV907	0.01104	0.00000000	0.00000000	0.03312088
ASV908	0.01104	0.00000000	0.00000000	0.03312088
ASV909	0.010083	0.0000000000	0.0006426487	0.0296058134
ASV910	0.011031	0.000230639	0.000000000	0.032863311
ASV41	0.01	0.000419089	0.016761874	0.012819823
ASV911	0.009877	0.0003459585	0.0003213244	0.0289632352
ASV912	0.010539	0.009655189	0.007281863	0.014680808
ASV56	0.013443	0.038554810	0.001772956	0.000000000
ASV1824	0.009324	0.00000000	0.00000000	0.02797052
ASV913	0.009469	0.0000000000	0.0005355406	0.0278709876
ASV914	0.010114	0.0003459585	0.0000000000	0.0299974492
ASV177	0.01012	0.000000000	0.006962028	0.023396512
ASV867	0.00776	0.00251246	0.00000000	0.02076843
ASV1825	0.008432	0.00000000	0.00000000	0.02529625
ASV1827	0.008906	0.00000000	0.00000000	0.02671661
ASV915	0.009756	0.005523669	0.001475135	0.022268322
ASV1828	0.008328	0.006649412	0.000000000	0.018335540
ASV916	0.009618	0.004818739	0.001475135	0.022561326
ASV332	0.008659	0.00000000	0.00000000	0.02597688
ASV917	0.009548	0.00000000	0.00000000	0.02864509
ASV1829	0.007913	0.00000000	0.02373953	0.00000000
ASV918	0.009565	0.00000000	0.00000000	0.02869514
ASV1831	0.006735	0.00000000	0.02020472	0.00000000
ASV417	0.00927	0.00000000	0.01585200	0.01195891
ASV919	0.008436	0.00000000	0.00000000	0.02530679
ASV1833	0.006615	0.00000000	0.01984521	0.00000000
ASV1834	0.008188	0.00000000	0.00000000	0.02456386
ASV920	0.009091	0.00000000	0.02727151	0.00000000
ASV69	0.00651	0.00000000	0.01953104	0.00000000
ASV842	0.007831	0.000000000	0.008993191	0.014500745
ASV921	0.009279	0.0010755135	0.0004137857	0.0263464249
ASV922	0.00863	0.0000000	0.0258887	0.0000000
ASV923	0.008955	0.000230639	0.000000000	0.026633301
ASV40	0.006714	0.0049041492	0.0150083434	0.0002290636
ASV92	0.012626	0.03787799	0.00000000	0.00000000
ASV924	0.00904	0.0013826313	0.0002068928	0.0255294814
ASV1835	0.007329	0.00000000	0.00000000	0.02198567
ASV391	0.008895	0.00000000	0.02668625	0.00000000
ASV1836	0.007531	0.00000000	0.00000000	0.02259158
ASV925	0.008195	0.00000000	0.02458559	0.00000000
ASV1837	0.006221	0.00000000	0.01866268	0.00000000
ASV1838	0.007411	0.00000000	0.00000000	0.02223298
ASV926	0.0073	0.018274997	0.002011425	0.001613791
ASV1839	0.005805	0.00000000	0.01741539	0.00000000
ASV239	0.007864	0.00161537	0.00000000	0.02197532
ASV927	0.016055	0.042368560	0.005796833	0.000000000
ASV14	0.006679	0.00000000	0.02003692	0.00000000
ASV928	0.008135	0.00000000	0.00000000	0.02440618
ASV929	0.008944	0.02683132	0.00000000	0.00000000
ASV930	0.007956	0.0006140609	0.0000000000	0.0232536731
