Class	PW	PW	PW	PW	PW	PW	PW	PW	PW	PW	PW	PW	PC	PC	PC	PC	PC	PC	PC	PC	PC	PC	PC	PC
k__Archaea	0.383147452366455	0.697869484985741	0.608529387313991	2.80290594111278	1.91868889592112	0.175642141222727	0.288633344023457	0.3168735146554	1.20427726061529	0.843351624568899	1.32591813896707	1.80617147080562	0.276634884080154	0.191329506743198	0.313948474722432	0.198011215817772	0.219167164773859	0.0805058121269243	1.1095585055062	0.867008819572475	1.45409688995215	0.793496165358933	0.098225979283248	5.42872080864413
k__Bacteria	46.8776452767424	42.8703237711793	40.0232770803891	45.0123991477769	41.5316200596259	44.4116793966934	46.907499885463	44.0910291187556	34.8986630676772	41.7947751295047	40.5642782054325	39.8373983739837	44.5817477146027	35.7996173409865	36.5877977794546	35.6680349193502	38.87975692369	37.0228557964185	46.0391922014838	36.0630823658379	41.4361543062201	45.016737809738	39.9511846648411	34.962820959684
k__Archaea|p__Euryarchaeota	0.383147452366455	0.697869484985741	0.608529387313991	2.80290594111278	1.91868889592112	0.175642141222727	0.288633344023457	0.3168735146554	1.20427726061529	0.843351624568899	1.32591813896707	1.80617147080562	0.276634884080154	0.191329506743198	0.313948474722432	0.198011215817772	0.219167164773859	0.0805058121269243	1.1095585055062	0.867008819572475	1.45409688995215	0.793496165358933	0.098225979283248	5.42872080864413
k__Bacteria|p__Bacteroidetes	16.3906915960022	26.3898674719007	16.4120043228864	19.8927735671126	18.4873669659066	17.5948306423024	16.6032895038255	15.4115754855126	14.0452872847239	24.7643781678046	20.8399742276781	16.6320214338507	28.8627076516928	21.8873955854216	22.2297078797025	18.2878533849801	21.9341502291293	18.5183003455859	17.3670026948797	14.031591011012	19.9200059808612	18.1122584530367	16.3977854506489	12.542116881608
k__Bacteria|p__Firmicutes	24.5570785749291	16.3194094950512	18.5867486906642	18.9445007160071	22.3180826435269	23.3539591994586	26.8818435882164	26.6173752310536	20.7610940005306	16.4397715689971	19.0359116958866	22.879711751663	13.9707637650429	13.7080591721499	13.8447235097553	17.0188471989362	14.1711496314007	18.0175934652843	15.5837242572446	20.738452339429	20.8956339712919	20.0092102233479	23.2140731039409	19.8385035436273
k__Bacteria|p__Unassigned	0.24355109375232	0.161046804227479	0.473854850777288	0.609479235793371	0.577938408754018	0.272325888684779	0.556650020616667	0.621744244664762	0.0922817824226275	0.471941803152795	0.194987961612805	0.196322985957132	0.273826408099645	0.121330906715199	0.222324027163954	0.303520841764468	0.448296473401076	0.418237511781338	0.40589546528263	0.306442772435099	0.370065789473684	0.235569174090933	0.270865579235623	0.275938189845475
k__Bacteria|p__Verrucomicrobia	5.68632401205875	0	4.55066921606119	5.56564562886382	0.14823204143835	3.1905636662477	2.86571677280432	1.44033415752455	0	0.118683589550259	0.49340432025501	0.129342202512934	1.47444988976732	0.0828316766997993	0.291042362832812	0.0578134936694224	2.32616058975892	0.0687244737668866	12.6825697840769	0.986596242961782	0.250448564593301	6.65969995926247	0.0684605310155971	2.30626234460323
k__Archaea|p__Euryarchaeota|c__Methanobacteria	0.383147452366455	0.697869484985741	0.608529387313991	2.80290594111278	1.91868889592112	0.175642141222727	0.288633344023457	0.3168735146554	1.20427726061529	0.843351624568899	1.32591813896707	1.80617147080562	0.276634884080154	0.191329506743198	0.313948474722432	0.198011215817772	0.219167164773859	0.0805058121269243	1.1095585055062	0.867008819572475	1.45409688995215	0.793496165358933	0.098225979283248	5.42872080864413
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	16.3906915960022	26.3898674719007	16.4120043228864	19.8927735671126	18.4873669659066	17.5948306423024	16.6032895038255	15.4115754855126	14.0452872847239	24.7643781678046	20.8399742276781	16.6320214338507	28.8627076516928	21.8873955854216	22.2297078797025	18.2878533849801	21.9341502291293	18.5183003455859	17.3670026948797	14.031591011012	19.9200059808612	18.1122584530367	16.3977854506489	12.542116881608
k__Bacteria|p__Firmicutes|c__Clostridia	24.3491691046527	15.9302130515014	18.3573031839721	18.4817156229262	22.051598074649	23.0622965612814	26.7925046960187	26.5069496123101	20.4738669527402	16.2847847638197	18.9155278239343	22.7803954175905	13.6632356451771	12.9404078585095	13.4916999029859	15.6081979534023	12.5398485754134	17.2262802387685	15.3591509465349	20.4345009716478	20.7199461722488	19.8728280699269	22.7854506488868	19.196584175671
k__Bacteria|p__Firmicutes|c__Negativicutes	0.207909470276371	0.38919644354974	0.229445506692161	0.462785093080926	0.266484568877933	0.291662638177189	0.0893388921977367	0.110425618743548	0.287227047790428	0.154986805177397	0.120383871952253	0.0993163340724316	0.307528119865755	0.767651313640394	0.35302360676943	1.41064924553391	1.63130105598725	0.791313226515866	0.224573310709652	0.303951367781155	0.175687799043062	0.136382153421067	0.428622455054173	0.641919367956315
k__Bacteria|p__Unassigned|c__Unassigned	0.24355109375232	0.161046804227479	0.473854850777288	0.609479235793371	0.577938408754018	0.272325888684779	0.556650020616667	0.621744244664762	0.0922817824226275	0.471941803152795	0.194987961612805	0.196322985957132	0.273826408099645	0.121330906715199	0.222324027163954	0.303520841764468	0.448296473401076	0.418237511781338	0.40589546528263	0.306442772435099	0.370065789473684	0.235569174090933	0.270865579235623	0.275938189845475
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	5.68632401205875	0	4.55066921606119	5.56564562886382	0.14823204143835	3.1905636662477	2.86571677280432	1.44033415752455	0	0.118683589550259	0.49340432025501	0.129342202512934	1.47444988976732	0.0828316766997993	0.291042362832812	0.0578134936694224	2.32616058975892	0.0687244737668866	12.6825697840769	0.986596242961782	0.250448564593301	6.65969995926247	0.0684605310155971	2.30626234460323
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	0.383147452366455	0.697869484985741	0.608529387313991	2.80290594111278	1.91868889592112	0.175642141222727	0.288633344023457	0.3168735146554	1.20427726061529	0.843351624568899	1.32591813896707	1.80617147080562	0.276634884080154	0.191329506743198	0.313948474722432	0.198011215817772	0.219167164773859	0.0805058121269243	1.1095585055062	0.867008819572475	1.45409688995215	0.793496165358933	0.098225979283248	5.42872080864413
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	16.3906915960022	26.3898674719007	16.4120043228864	19.8927735671126	18.4873669659066	17.5948306423024	16.6032895038255	15.4115754855126	14.0452872847239	24.7643781678046	20.8399742276781	16.6320214338507	28.8627076516928	21.8873955854216	22.2297078797025	18.2878533849801	21.9341502291293	18.5183003455859	17.3670026948797	14.031591011012	19.9200059808612	18.1122584530367	16.3977854506489	12.542116881608
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	24.3491691046527	15.9302130515014	18.3573031839721	18.4817156229262	22.051598074649	23.0622965612814	26.7925046960187	26.5069496123101	20.4738669527402	16.2847847638197	18.9155278239343	22.7803954175905	13.6632356451771	12.9404078585095	13.4916999029859	15.6081979534023	12.5398485754134	17.2262802387685	15.3591509465349	20.4345009716478	20.7199461722488	19.8728280699269	22.7854506488868	19.196584175671
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	0.207909470276371	0.38919644354974	0.229445506692161	0.462785093080926	0.266484568877933	0.291662638177189	0.0893388921977367	0.110425618743548	0.287227047790428	0.154986805177397	0.120383871952253	0.0993163340724316	0.307528119865755	0.767651313640394	0.35302360676943	1.41064924553391	1.63130105598725	0.791313226515866	0.224573310709652	0.303951367781155	0.175687799043062	0.136382153421067	0.428622455054173	0.641919367956315
