Class	OC	OC	OC	OC	OC	OC	OC	OC	OC	OC	OC	OC	CC	CC	CC	CC	CC	CC	CC	CC	CC	CC	CC	CC	PC	PC	PC	PC	PC	PC	PC	PC	PC	PC	PC	PC
Unassigned	37.1496212121212	26.9682096766157	31.2657995128005	29.6250747288411	37.1726380581848	32.1052631578947	27.3573339277753	36.9573301106256	33.1081658828559	34.3537244274937	41.1711345365823	33.1545064377682	37.3747400898786	34.3736146821527	33.524500907441	29.7930532726146	38.0503978779841	35.1890781113447	27.9974602799598	25.8113636363636	35.8069898268047	41.4039597708925	41.8929217871773	27.1276324511754	32.3171331077191	30.489056885529	31.6010024792498	31.9723073365323	35.679418210799	31.1891297518065	43.7884685763716	34.503463052469	38.1616327751196	43.523618909297	37.7366353137278	38.2188915998606
Unassigned|Unassigned	37.1496212121212	26.9682096766157	31.2657995128005	29.6250747288411	37.1726380581848	32.1052631578947	27.3573339277753	36.9573301106256	33.1081658828559	34.3537244274937	41.1711345365823	33.1545064377682	37.3747400898786	34.3736146821527	33.524500907441	29.7930532726146	38.0503978779841	35.1890781113447	27.9974602799598	25.8113636363636	35.8069898268047	41.4039597708925	41.8929217871773	27.1276324511754	32.3171331077191	30.489056885529	31.6010024792498	31.9723073365323	35.679418210799	31.1891297518065	43.7884685763716	34.503463052469	38.1616327751196	43.523618909297	37.7366353137278	38.2188915998606
Unassigned|Unassigned|Unassigned	37.1496212121212	26.9682096766157	31.2657995128005	29.6250747288411	37.1726380581848	32.1052631578947	27.3573339277753	36.9573301106256	33.1081658828559	34.3537244274937	41.1711345365823	33.1545064377682	37.3747400898786	34.3736146821527	33.524500907441	29.7930532726146	38.0503978779841	35.1890781113447	27.9974602799598	25.8113636363636	35.8069898268047	41.4039597708925	41.8929217871773	27.1276324511754	32.3171331077191	30.489056885529	31.6010024792498	31.9723073365323	35.679418210799	31.1891297518065	43.7884685763716	34.503463052469	38.1616327751196	43.523618909297	37.7366353137278	38.2188915998606
Unassigned|Unassigned|Unassigned|Unassigned	37.1496212121212	26.9682096766157	31.2657995128005	29.6250747288411	37.1726380581848	32.1052631578947	27.3573339277753	36.9573301106256	33.1081658828559	34.3537244274937	41.1711345365823	33.1545064377682	37.3747400898786	34.3736146821527	33.524500907441	29.7930532726146	38.0503978779841	35.1890781113447	27.9974602799598	25.8113636363636	35.8069898268047	41.4039597708925	41.8929217871773	27.1276324511754	32.3171331077191	30.489056885529	31.6010024792498	31.9723073365323	35.679418210799	31.1891297518065	43.7884685763716	34.503463052469	38.1616327751196	43.523618909297	37.7366353137278	38.2188915998606
Unassigned|Unassigned|Unassigned|Unassigned|Acidaminococcaceae	0.392045454545455	0.561811749464348	0.2872638690996	0.444102826885302	0.342604959061611	0.322472848788638	0.444438252340615	0.0650739053639491	0.987601539119282	0.55870594335993	0.0719446964246614	0.300429184549356	0.666711382386478	0.51275231255726	0.196007259528131	1.04012287461939	0.780725022104332	0.366110021966601	0.149134723288642	0.179545454545455	0.188994049640468	0.25706940874036	0.190530627798419	0.101983580643516	0.526589246345471	0.856316207009193	0.44330063598146	1.48291611262069	1.63130105598725	0.838438579956016	0.271151478856839	0.343813842244257	0.220544258373206	0.230255583697905	0.470294082628884	0.685488555826653
Unassigned|Unassigned|Unassigned|Unassigned|Bacteroidaceae	1.3844696969697	1.45373461557626	3.04499701245576	2.71073533179605	2.08176064107775	2.02673350041771	2.06336379848417	2.20786464627684	3.1722958529286	4.2521871497633	4.40113860302168	2.36909871244635	1.87135287410289	2.02441114756036	1.64500907441016	1.35269866077443	1.59858532272325	2.22736613364197	1.40718209202055	1.39318181818182	4.03236523100093	3.13669778559509	1.72668381442317	0.894905920146856	2.03614508586915	3.02860609454478	1.68023067802091	1.24443545123432	1.7359035664475	1.88108702481935	3.05918754366703	1.23573670835617	2.28767942583732	0.674825979914628	0.750089296344803	1.68757987684443
Unassigned|Unassigned|Unassigned|Unassigned|Bacteroidales_BS11_gut_group	0	0	0	0	0	0	0	0	0	0	0	0	0.0576832785565766	0	0	0	0.0344827586206897	0.0188960011337601	0.00442974425609828	0.00227272727272727	0	0	0	0.0101983580643516	1.07283782455451	0.249661673433198	0.361108116848119	0	0.278940027894003	0	1.25262002195828	0.154467088544521	0.0485944976076555	0.108043004658248	0	0
Unassigned|Unassigned|Unassigned|Unassigned|Bacteroidales_Incertae_Sedis	0	0	0	0	0	0	0	0	2.09063702436939	0.0736019805623861	0	1.66094420600858	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Unassigned|Unassigned|Unassigned|Unassigned|Bacteroidales_S24-7_group	0.263257575757576	0.0610394140216254	0.514776853426483	1.16149970108464	0.731664827826491	0.614870509607352	0.0125390102541239	0.102258994143349	0	2.82698516250983	0.00625606055866621	0.0729613733905579	0	1.25306617016875	0	1.16811726981219	0	0	1.19898411198393	0.804545454545455	0	0	0	0.323797868543165	0	1.83629660740119	0.897380618734505	3.03231774296121	1.45945407451684	0.380929940307886	0.379279369198523	0.782301061338383	0.755083732057416	0.651800421544838	5.72091915704251	0.29336586499361
Unassigned|Unassigned|Unassigned|Unassigned|Christensenellaceae	0.147727272727273	0.171906921122129	0.101116881923059	0.140063199248441	0.447128505893967	0.135338345864662	0.250780205082479	0.264943757553221	0.423257802479692	0.158913367123334	0.206449998435985	0.377682403433476	0.0804882956603394	0.0842273251174749	0.392014519056261	0.243863005577861	0.129089301503095	0.191322011479321	0.307128935089481	0.25	0.42671312770387	0.527668786361791	0.507287796513289	0.214165519351384	0.10391361127884	0.151663633393999	0.106446049369408	0.121408336705787	0.231619844590556	0.157084511467169	0.229563828725422	0.239174846778614	0.844796650717703	0.410917657060876	0.443505179187999	0.650633205530382
